TIME ms, IN1, IN2
-20.703, -0.297587, -0.0811
-20.752, -0.239686, -0.123628
-20.801, -0.181784, -0.165662
-20.85, -0.111016, -0.207695
-20.898, -0.053114, -0.250223
-20.947, 0.004788, -0.292751
-20.996, 0.114157, -0.334785
-21.045, 0.178492, -0.376819
-21.094, 0.242828, -0.418852
-21.143, 0.300729, -0.460391
-21.191, 0.390799, -0.503414
-21.24, 0.397232, -0.545447
-21.289, 0.513035, -0.587481
-21.338, 0.545203, -0.630009
-21.387, 0.570937, -0.672042
-21.436, 0.622405, -0.714076
-21.484, 0.641705, -0.757099
-21.533, 0.635272, -0.798638
-21.582, 0.654573, -0.841166
-21.631, 0.622405, -0.882705
-21.68, 0.583804, -0.924738
-21.729, 0.525902, -0.967266
-21.777, 0.493735, -1.0093
-21.826, 0.442266, -1.051334
-21.875, 0.365064, -1.092873
-21.924, 0.255695, -1.135401
-21.973, 0.19136, -1.170511
-22.021, 0.107724, -1.212545
-22.07, 0.011221, -1.255073
-22.119, -0.059548, -1.297106
-22.168, -0.130316, -1.338645
-22.217, -0.226819, -1.381173
-22.266, -0.278287, -1.423207
-22.314, -0.37479, -1.465241
-22.363, -0.413391, -1.507274
-22.412, -0.37479, -1.549308
-22.461, -0.419824, -1.591341
-22.51, -0.413391, -1.633375
-22.559, -0.413391, -1.674914
-22.607, -0.387657, -1.717442
-22.656, -0.368356, -1.758981
-22.705, -0.304021, -1.801015
-22.754, -0.246119, -1.843048
-22.803, -0.149617, -1.884587
-22.852, -0.091715, -1.926126
-22.9, 0.017655, -1.968654
-22.949, 0.094857, -2.010193
-22.998, 0.120591, -2.052227
-23.047, 0.197793, -2.093766
-23.096, 0.313596, -2.135305
-23.145, 0.397232, -2.172393
-23.193, 0.371498, -2.133821
-23.242, 0.33933, -2.090304
-23.291, 0.287862, -2.046787
-23.34, 0.274995, -2.003765
-23.389, 0.242828, -1.960248
-23.438, 0.152759, -1.917225
-23.486, 0.146325, -1.874202
-23.535, 0.094857, -1.830685
-23.584, 0.036955, -1.788652
-23.633, -0.020947, -1.745135
-23.682, -0.040247, -1.702607
-23.73, -0.123883, -1.660078
-23.779, -0.15605, -1.61755
-23.828, -0.252553, -1.575022
-23.877, -0.284721, -1.531505
-23.926, -0.342622, -1.488977
-23.975, -0.355489, -1.445955
-24.023, -0.39409, -1.403921
-24.072, -0.400524, -1.360404
-24.121, -0.413391, -1.31837
-24.17, -0.445558, -1.275842
-24.219, -0.432691, -1.23282
-24.268, -0.419824, -1.190786
-24.316, -0.400524, -1.147763
-24.365, -0.355489, -1.10573
-24.414, -0.329755, -1.070125
-24.463, -0.278287, -1.027597
-24.512, -0.233252, -0.985563
-24.561, -0.143183, -0.942541
-24.609, -0.149617, -0.901002
-24.658, -0.059548, -0.857979
-24.707, -0.008079, -0.815946
-24.756, 0.114157, -0.772923
-24.805, 0.139891, -0.730889
-24.854, 0.242828, -0.688361
-24.902, 0.313596, -0.646328
-24.951, 0.32003, -0.6038
